partida_id,clave_csi,capitulo,cap_nombre,partida_desc,partida_unidad,n_insumos_mo_eq,ficha,ficha_desc,ficha_unidad,ficha_pagina,score
d4ea10fb-1705-427a-a45e-63330662882a,03 31 00.1,03,Concreto,"Armado, Encofrado y Fundido de Castillo R1 15x15cm, Ref 4#3 + N2@5cm F032002",ML,4,F032013,CASTILLO 20X20 SOLO FUNDIDO CONCRETO 1:2:2,M.L.,241,0.4
4d9220d7-375e-4d72-8269-7978a60b4a57,03 31 00.2,03,Concreto,"Armado, Encofrado y Fundido de Columna R2 20x20cm, 4Nº3, Nº2 @ 0.20, F034003",ML,4,F034002,"COLUMNA 20 X 20, 4Nº5, Nº3 @ 20, CONCRETO 1:2:2",M.L.,250,0.75
4d9220d7-375e-4d72-8269-7978a60b4a57,03 31 00.2,03,Concreto,"Armado, Encofrado y Fundido de Columna R2 20x20cm, 4Nº3, Nº2 @ 0.20, F034003",ML,4,F034003,"COLUMNA 20 X 20, 4Nº3, Nº2 @ 0.20, CONC. 1:2:2",M.L.,251,0.75
4d9220d7-375e-4d72-8269-7978a60b4a57,03 31 00.2,03,Concreto,"Armado, Encofrado y Fundido de Columna R2 20x20cm, 4Nº3, Nº2 @ 0.20, F034003",ML,4,F034004,"COLUMNA 20 X 20, 4Nº4, Nº3 @ 20, CONCRETO 1:2:2",M.L.,252,0.75
4d9220d7-375e-4d72-8269-7978a60b4a57,03 31 00.2,03,Concreto,"Armado, Encofrado y Fundido de Columna R2 20x20cm, 4Nº3, Nº2 @ 0.20, F034003",ML,4,F034012,"COLUMNA 20 X 60 4Nº4, Nº2 @ 20, CONCRETO 1:2:2",UNID,260,0.6
4d9220d7-375e-4d72-8269-7978a60b4a57,03 31 00.2,03,Concreto,"Armado, Encofrado y Fundido de Columna R2 20x20cm, 4Nº3, Nº2 @ 0.20, F034003",ML,4,F034013,"COLUMNA 20 x 15 4Nº4, Nº3 @ 20, CONCRETO 1:2:2",ML,261,0.6
7ab92c35-12b1-4546-ba73-aef84188f98b,03 31 00.3,03,Concreto,"Armado, Encofrado y Fundido de Columna R3 20 X 30, 4#4 + 2#3, #3@20cm",ML,4,F034034,"COLUMNA 30 X 30, 4 Nº6, Nº3 @ 0.20, CONCRETO 1:2:2",M.L.,282,0.75
7ab92c35-12b1-4546-ba73-aef84188f98b,03 31 00.3,03,Concreto,"Armado, Encofrado y Fundido de Columna R3 20 X 30, 4#4 + 2#3, #3@20cm",ML,4,F034039,"COLUMNA 30 X 30, 6 Nº4, Nº3 @ 0.20, CONCRETO 1:2:2",M.L.,287,0.75
7ab92c35-12b1-4546-ba73-aef84188f98b,03 31 00.3,03,Concreto,"Armado, Encofrado y Fundido de Columna R3 20 X 30, 4#4 + 2#3, #3@20cm",ML,4,F034006,"COLUMNA 20 X 30, 6Nº4, Nº3 @ 0.20, CONCRETO 1:2:2",M.L.,254,0.6
7ab92c35-12b1-4546-ba73-aef84188f98b,03 31 00.3,03,Concreto,"Armado, Encofrado y Fundido de Columna R3 20 X 30, 4#4 + 2#3, #3@20cm",ML,4,F034010,"COLUMNA 20 X 40, 6 Nº5, Nº3 @ 0.30, CONCRETO 1:2:2",M.L.,258,0.6
7ab92c35-12b1-4546-ba73-aef84188f98b,03 31 00.3,03,Concreto,"Armado, Encofrado y Fundido de Columna R3 20 X 30, 4#4 + 2#3, #3@20cm",ML,4,F034023,"COLUMNA 25 X 30, 4 Nº5, Nº2 @ 0.20, CONCRETO 1:2:2",M.L.,271,0.6
598289f7-ca26-409c-9c41-ecd498329b55,03 31 00.4,03,Concreto,"Armado, Encofrado y Fundido de Columna de R4 20x20 4#4 + 2#3, #3@20cm",ML,4,F032013,CASTILLO 20X20 SOLO FUNDIDO CONCRETO 1:2:2,M.L.,241,0.4
70d220d0-354d-4379-bb1a-739878160601,03 31 00.5,03,Concreto,"Armado, Encofrado y Fundido de Columna R5 A 35 X 35, R2 20x20cm, 4Nº3, Nº2 @ 0.20,  4-#6+2-#5+2-#5,#3@150mm",ML,3,F034002,"COLUMNA 20 X 20, 4Nº5, Nº3 @ 20, CONCRETO 1:2:2",M.L.,250,0.75
70d220d0-354d-4379-bb1a-739878160601,03 31 00.5,03,Concreto,"Armado, Encofrado y Fundido de Columna R5 A 35 X 35, R2 20x20cm, 4Nº3, Nº2 @ 0.20,  4-#6+2-#5+2-#5,#3@150mm",ML,3,F034003,"COLUMNA 20 X 20, 4Nº3, Nº2 @ 0.20, CONC. 1:2:2",M.L.,251,0.75
70d220d0-354d-4379-bb1a-739878160601,03 31 00.5,03,Concreto,"Armado, Encofrado y Fundido de Columna R5 A 35 X 35, R2 20x20cm, 4Nº3, Nº2 @ 0.20,  4-#6+2-#5+2-#5,#3@150mm",ML,3,F034004,"COLUMNA 20 X 20, 4Nº4, Nº3 @ 20, CONCRETO 1:2:2",M.L.,252,0.75
